##---File: sp/PHR1731-2216_6D220701HD.fits
#angstro      ---    
#Wavelen     Value   
 6262.0  0.00000e+00
 6262.8  0.00000e+00
 6263.6  0.00000e+00
 6264.4  0.00000e+00
 6265.2  0.00000e+00
 6266.0  0.00000e+00
 6266.8  0.00000e+00
 6267.6  0.00000e+00
 6268.4  0.00000e+00
 6269.2 -5.77410e+01
 6270.0 -7.30078e+01
 6270.8 -2.06530e+01
 6271.6  5.97755e-01
 6272.3  1.10937e+00
 6273.1 -1.57001e+00
 6273.9 -8.26324e-01
 6274.7  6.86326e+00
 6275.5  6.87927e-01
 6276.3  8.32423e+00
 6277.1 -3.75587e-01
 6277.9 -6.28133e+00
 6278.7  4.87045e+00
 6279.5  8.86834e+00
 6280.3  1.15223e+01
 6281.1  9.53712e-01
 6281.9  3.21548e-01
 6282.7  8.42187e+00
 6283.5  4.77066e-02
 6284.3 -5.24702e+00
 6285.0 -2.82139e+00
 6285.8 -1.33842e+01
 6286.6  4.99545e+00
 6287.4 -4.81979e-01
 6288.2  1.30518e+01
 6289.0  6.32567e+00
 6289.8  2.89771e+00
 6290.6  8.34622e+00
 6291.4  8.90694e+00
 6292.2  4.19116e+00
 6293.0  5.16446e+00
 6293.8  6.13775e+00
 6294.6  7.11104e+00
 6295.4  8.08434e+00
 6296.2  9.05763e+00
 6297.0  1.00309e+01
 6297.7  1.10042e+01
 6298.5  1.19775e+01
 6299.3  1.29508e+01
 6300.1  1.39241e+01
 6300.9  1.48974e+01
 6301.7  1.58707e+01
 6302.5  1.68440e+01
 6303.3  1.78173e+01
 6304.1  1.87906e+01
 6304.9  1.97639e+01
 6305.7  2.07372e+01
 6306.5  2.17105e+01
 6307.3  2.26837e+01
 6308.1  1.05596e+01
 6308.9  1.58913e+01
 6309.7  1.59929e+00
 6310.5 -1.45491e+01
 6311.2  5.02689e+00
 6312.0  1.70722e+00
 6312.8  4.86625e+00
 6313.6  1.14943e+01
 6314.4  1.03721e+01
 6315.2  1.30797e+01
 6316.0  9.43670e+00
 6316.8  9.21814e-01
 6317.6  5.80788e-01
 6318.4  9.61117e+00
 6319.2  1.02634e+01
 6320.0  9.06548e-01
 6320.8  1.45129e+01
 6321.6  1.56935e+00
 6322.4  6.48883e+00
